# ちゅーとりある tutorial

## ...

r00 「なにこれ？」
l02 「ゆるふわチャット小説だよー」
l02 「『深層の令妹 ζ(*ﾟｗﾟ)ζ』だよー」
l02 「とりま、右上の「次へ」から読めるよー」
l02 「左上の「目次」を押してみてもいいよー」
r00 「どう読むの？」
l02 「ふつーにチャットっぽく読めばいいんじゃないかなー」
r01 「とはいえ、作中ではチャットしてるわけじゃなくて、普通に会話してるだけなんだから、勘違いしないでよね！」
l02 「こうやってねー、発言者によってセリフの背景色が変わるよー」
r01 「ふん。これは、なんとなくお兄ぃに偽装してるだけよ、なんとなく」
l02 「んあー、そこらへんの妹事情はちょっとややこしいから、ここではそのまま偽装しててねー」
l02 「ちなみにねー、灰色の人はその場かぎりの登場人物、いわゆるモブだよー」
r00 「えっ」
l02 「あと、電話とかの、生音声じゃないセリフはちょっと形が変わるよー」
r01 『もしもし。とくに用があるってわけじゃなくって、発声練習したい気分だけなんだから！』
l02 「はいはい、偽装ツンデレおつー」
l02 「それからねー、場面転換する時は罫線が入るからねー。こんな感じー」

---

r01 『待ちくたびれて、一眠りしちゃったぞ♡』
l02 「んー、場面じゃなくて、妹キャラが変わっちゃったみたいー」
r01 『私はたぶん３人目だと思うから♡』
r01 『妹ちゃん｜の３乗《きゅーぶ》♡』
l02 「そろそろボロ隠せなくなってきたから、この茶番さっさと終えるよー」
l02 「この小説、章ごとにページが分かれていてねー。スクロール大変だから、上の章題をタップするかマウスをかざすと、節の頭にジャンプできる数字が表示されるよー」
l02 「じゃあねー」

l02 「地球が壊れるまで、お喋りしようね」
r02 「れっつ妹ガチャ♥」


## ...

r00 『アイコンないの？』
l02 「うわー、また出てきたよー」
r00 『アイコン表示もできないのに、チャット小説を名乗ってるの？』
l02 「なんか天から声が聞こえるよー」
r00 『せめてメインヒロインのアイコン拝めないと、成仏できないんですけど？』
l02 「しょうがないなーもー」
l99 「<img class="stamp" src="icon/deep-sister-600x600.jpg" width="300" height="300" alt="deep-sister">」
l02 「満足したなら、今度こそ右上の「次へ」から読みはじめてねー」
l02 「もしくは、下のボタンからシェアよろー」
